PLAYER,POS,Lane Agility Time (seconds),Shuttle Run (seconds),Three Quarter Sprint (seconds),Standing Vertical Leap (inches),Max Vertical Leap (inches),Max Bench Press (repetitions)
Andrew Harrison,PG,11.20,-,3.34,26.5,33.0,-
Aaron Harrison,SG,-,-,3.27,28.5,34.5,1
Tyler Harvey,SG,10.56,2.93,3.44,26.0,28.5,1
Corey Hawkins,SG-PG,10.81,-,3.51,28.5,34.0,9
Rondae Hollis-Jefferson,SF,10.41,3.19,3.12,32.0,38.0,13
Richaun Holmes,PF,11.24,3.31,3.32,32.5,36.0,15
Jonathan Holmes,PF-SF,10.95,3.12,3.51,25.5,31.0,-
R.J. Hunter,SG,10.87,2.91,3.26,27.5,33.5,1
Vince Hunter,PF,11.19,3.06,3.26,33.5,37.5,13
Dakari Johnson,C,11.76,2.94,3.62,22.5,25.0,4
Stanley Johnson,SF,-,-,-,-,-,-
Tyus Jones,PG,11.84,2.95,3.32,26.5,32.5,2
Frank Kaminsky,C-PF,-,-,-,-,-,-
Kevon Looney,PF,-,-,-,-,-,-
