Player,Team,Number,Position,Height,Weight,Last Attended,Country
JeffTurner,ORL,31,F,205.74,104.32616,Vanderbilt,USA
JohnTurner,HOU,40,F,203.2,111.13004,Phillips,USA
MylesTurner,IND,33,C-F,210.82,113.398,Texas,USA
WayneTurner,BOS,5,G,187.96,86.18248,Kentucky,USA
MelTurpin,CLE,50,C,210.82,108.86207999999999,Kentucky,USA
DaveTwardzik,POR,13,G,185.42000000000002,79.3786,Old Dominion,USA
JackTwyman,SAC,27,F,198.12,95.25431999999999,Cincinnati,USA
B.J.Tyler,PHI,1,G,185.42000000000002,83.91452,Texas-Austin,USA
JeremyTyler,GSW,4,F,208.28,113.398,Tokyo Apache,USA
TerryTyler,DET,41,F,200.66,97.52228,Detroit,USA
CharlieTyra,NYK,14,C,203.2,104.32616,Louisville,USA
EdwinUbiles,WAS,1,F-G,198.12,92.532768,Siena,Puerto Rico
EkpeUdoh,MIL,33,C-F,208.28,111.13004,Baylor,USA
ImeUdoka,SAS,3,G-F,195.58,99.79024,Portland State,USA
BenoUdrih,SAC,19,G,190.5,92.98636,,Slovenia
RokoUkic,TOR,1,G,195.58,83.007336,Virtus Roma,Croatia
TylerUlis,PHX,8,G,177.8,72.57472,Kentucky,USA
WesUnseld,WAS,41,C,200.66,111.13004,Louisville,USA
HalUplinger,BAL,,G,193.04,83.91452,Long Island-Brooklyn,USA
KelvinUpshaw,DAL,5,G,187.96,81.64656,Utah,USA
JarrodUthoff,DAL,7,F,205.74,99.79024,Iowa,USA
BenUzoh,BKN,18,G,190.5,92.98636,Tulsa,USA
RobertVaden,OKC,30,G-F,195.58,92.98636,Alabama-Birmingham,USA
JonasValanciunas,NOP,17,C,210.82,120.20188,Lietuvos rytas Vilnius,Lithuania
DarnellValentine,POR,1,G,187.96,83.007336,Kansas,USA
DenzelValentine,UTA,45,G,193.04,99.79024,Michigan State,USA
RonValentine,DEN,42,F,200.66,95.25431999999999,Old Dominion,USA
JohnVallely,ATL,33,G,190.5,83.91452,UCLA,USA
DickVan Arsdale,PHX,5,G,195.58,95.25431999999999,Indiana,USA
TomVan Arsdale,SAC,4,F,195.58,91.625584,Indiana,USA
ButchVan Breda Kolff,NYK,17,G-F,190.5,83.91452,New York University,USA
JanVan Breda Kolff,BKN,22,F,200.66,88.45044,Vanderbilt,USA
NickVan Exel,LAL,31,G,185.42000000000002,86.18248,Cincinnati,USA
KeithVan Horn,BKN,2,F,208.28,111.13004,Utah,USA
NormVan Lier,CHI,4,G,185.42000000000002,78.471416,St. Francis (PA),USA
FredVanVleet,TOR,23,G,182.88,89.357624,Wichita State,USA
GeneVance,CHS,11,G,190.5,88.45044,Illinois,USA
LogVander Velden,LAC,25,F,203.2,97.52228,Wisconsin-Green Bay,USA
JarredVanderbilt,UTA,8,F,203.2,97.068688,Kentucky,USA
ErnieVandeweghe,NYK,18,F,190.5,88.45044,Colgate,USA
KikiVandeweghe,DEN,55,F,203.2,99.79024,UCLA,USA
NickVanos,PHX,30,C,215.9,115.66596,Santa Clara,USA
DavidVanterpool,WAS,22,G,195.58,90.7184,St. Bonaventure,USA
RatkoVarda,DET,50,C,215.9,120.20188,Partizan,Bosnia and Herzegovina
AndersonVarejao,CLE,18,F,210.82,123.83061599999999,,Brazil
JarvisVarnado,PHI,40,F-C,205.74,104.32616,Mississippi State,USA
GreivisVasquez,NOP,21,G,198.12,98.429464,Maryland,Venezuela
DevinVassell,SAS,24,G-F,195.58,90.7184,Florida State,USA
CharlesVaughn,ATL,10,G,190.5,86.18248,Southern Illinois,USA
DavidVaughn,ORL,42,F,205.74,108.86207999999999,Memphis,USA
JacqueVaughn,UTA,11,G,185.42000000000002,86.18248,Kansas,USA
RashadVaughn,MIL,20,G,198.12,91.625584,UNLV,USA
VirgilVaughn,BOS,17,F,193.04,92.98636,Western Kentucky,USA
LoyVaught,LAC,35,F-C,205.74,108.86207999999999,Michigan,USA
BobVerga,POR,17,G,185.42000000000002,86.18248,Duke,USA
PeterVerhoeven,POR,50,F,205.74,97.52228,Fresno State,USA
JanVesely,WAS,24,F,213.36,109.76926399999999,Partizan,Czech Republic
GundarsVetra,MIN,2,F,198.12,88.45044,VEF Riga,Latvia
JoaoVianna,DAL,31,F,205.74,97.52228,Travajara,Brazil
LucaVildoza,MIL,6,G,190.5,86.18248, ,Argentina
CharlieVillanueva,DET,3,F,210.82,105.233344,Connecticut,USA
GabeVincent,MIA,2,G,187.96,90.7184,California-Santa Barbara,USA
JayVincent,DAL,3,F,200.66,99.79024,Michigan State,USA
SamVincent,ORL,11,G,187.96,83.91452,Michigan State,USA
MarcusVinicius,NOP,11,F,203.2,102.0582,Sao Carlos,Brazil
FredVinson,OKC,11,G,193.04,86.18248,Georgia Tech,USA
GaryVoce,CLE,54,F,205.74,108.86207999999999,Notre Dame,USA
FloydVolker,DN,,,0.0,0.0,Wyoming,USA
AlexanderVolkov,ATL,8,C,208.28,98.883056,Stroitel,Ukraine
WhiteyVon Nieda,BAL,,,0.0,0.0,Penn State,USA
NoahVonleh,BOS,4,F,208.28,116.573144,Indiana,USA
JakeVoskuhl,PHX,77,C,210.82,115.66596,Connecticut,USA
DannyVranes,OKC,20,F,200.66,95.25431999999999,Utah,USA
SlavkoVranes,POR,29,C,226.06,124.7378,Buducnost,Montenegro
StojkoVrankovic,LAC,11,C,218.44,117.93392,Aris,Croatia
